SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,PARENT_NETPROFIT,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_COST,TOE_RATIO,TOI_RATIO,OPERATE_COST,OPERATE_EXPENSE,OPERATE_EXPENSE_RATIO,SALE_EXPENSE,MANAGE_EXPENSE,FINANCE_EXPENSE,OPERATE_PROFIT,TOTAL_PROFIT,INCOME_TAX,OPERATE_INCOME,INTEREST_NI,INTEREST_NI_RATIO
000333,美的集团,2022-06-30 00:00:00,15995496000.0,183663399000.0,165037325000.0,4.5863691296,5.0424138215,140424168000.0,140424168000.0,3.4604069688,14698373000.0,4951069000.0,-1735418000.0,18724096000.0,18832948000.0,2710551000.0,,968317000.0,
000333,美的集团,2023-06-30 00:00:00,18232291000.0,197795614000.0,176388077000.0,6.87768782,7.6946278229,147276358000.0,147276358000.0,4.8796372431,17133216000.0,5670400000.0,-1363661000.0,22084793000.0,22107307000.0,3578491000.0,,787210000.0,
000333,美的集团,2022-03-31 00:00:00,7177925000.0,90938820000.0,82511495000.0,9.4975492554,9.542248635,70336385000.0,70336385000.0,8.676516823,7599881000.0,2380911000.0,-1155050000.0,8316183000.0,8362764000.0,1134183000.0,,524198000.0,
000333,美的集团,2021-12-31 00:00:00,28573650000.0,343360825000.0,312777887000.0,20.8792043184,20.1782054121,264525999000.0,264525999000.0,22.0147303385,28647344000.0,10266283000.0,-4386111000.0,33281195000.0,33717544000.0,4702168000.0,,2039977000.0,
000333,美的集团,2023-03-31 00:00:00,8041853000.0,96636184000.0,87373044000.0,5.8919657194,6.2650516028,73120434000.0,73120434000.0,3.9581917666,8444025000.0,2801492000.0,-710597000.0,9584823000.0,9612566000.0,1466834000.0,,367374000.0,
000333,美的集团,2022-12-31 00:00:00,29553507000.0,345708706000.0,311691527000.0,-0.3473263441,0.6837940816,260538701000.0,260538701000.0,-1.5073369026,28716121000.0,11582664000.0,-3387491000.0,34763272000.0,34955931000.0,5145700000.0,,1740993000.0,
000333,美的集团,2021-09-30 00:00:00,23455250000.0,262942589000.0,237666842000.0,21.9230598481,20.7525994457,202595165000.0,202595165000.0,25.1024053389,20948273000.0,7454498000.0,-3349461000.0,27075496000.0,27342210000.0,3649382000.0,,1524218000.0,
000333,美的集团,2022-09-30 00:00:00,24469921000.0,271775057000.0,243771100000.0,2.5684096059,3.3590861159,206530717000.0,206530717000.0,1.9425695574,21196708000.0,8044890000.0,-2110455000.0,28662684000.0,28883659000.0,4189933000.0,,1372265000.0,
000333,美的集团,2021-06-30 00:00:00,15009046000.0,174846895000.0,157800033000.0,26.5904429241,25.1415677942,135727446000.0,135727446000.0,31.1076617009,13950077000.0,4251893000.0,-2321726000.0,17553556000.0,17624384000.0,2407939000.0,,996025000.0,
000333,美的集团,2020-12-31 00:00:00,27222969000.0,285709729000.0,258752437000.0,2.9582251622,2.2654490432,216798413000.0,216798413000.0,9.5417665603,23563455000.0,9264148000.0,-2638032000.0,31493457000.0,31663539000.0,4156997000.0,,1383043000.0,
000333,美的集团,2021-03-31 00:00:00,6468588000.0,83017120000.0,75354650000.0,41.5370614981,42.259991982,64720868000.0,64720868000.0,49.0292459065,6262170000.0,2404839000.0,-960112000.0,7413136000.0,7459620000.0,890183000.0,,497977000.0,
000333,美的集团,2020-09-30 00:00:00,22018301000.0,217753150000.0,194931822000.0,-0.9750853042,-1.8130677355,161943461000.0,161943461000.0,3.3773528833,20179953000.0,6298047000.0,-1462390000.0,25875964000.0,25947945000.0,3753942000.0,,897062000.0,
000333,美的集团,2020-06-30 00:00:00,13928295000.0,139719278000.0,124653986000.0,-8.4894476805,-9.4687453775,103523657000.0,103523657000.0,-4.5348335909,12631101000.0,4102149000.0,-851927000.0,16375411000.0,16396071000.0,2329061000.0,,574007000.0,
000333,美的集团,2019-12-31 00:00:00,24211222000.0,279380506000.0,251317888000.0,5.9579198827,6.7072398905,197913928000.0,197913928000.0,5.1813004295,34611231000.0,9531361000.0,-2231636000.0,29683092000.0,29929114000.0,4651970000.0,,1040562000.0,
000333,美的集团,2020-03-31 00:00:00,4810977000.0,58355915000.0,53240225000.0,-21.3122678711,-22.7078334631,43428300000.0,43428300000.0,-19.3949024477,5656993000.0,2008521000.0,-267397000.0,5501245000.0,5530653000.0,720263000.0,,289763000.0,
000333,美的集团,2019-09-30 00:00:00,21315967000.0,221774064000.0,196851290000.0,5.9934638456,6.9281699495,156652745000.0,156652745000.0,4.6691127562,27677878000.0,6227447000.0,-2114090000.0,26108316000.0,26353959000.0,3993735000.0,,739346000.0,
000333,美的集团,2019-06-30 00:00:00,15187069000.0,154332643000.0,136218155000.0,6.3857235892,7.3723584855,108441289000.0,108441289000.0,4.3894762027,19529822000.0,4110125000.0,-1435645000.0,18799531000.0,18889515000.0,2829592000.0,,456154000.0,
000333,美的集团,2018-12-31 00:00:00,20230779000.0,261819635000.0,237186506000.0,5.7400055262,8.2262028015,188164557000.0,188164557000.0,4.2690798153,31085879000.0,9571639000.0,-1823040000.0,25564111000.0,25773058000.0,4122639000.0,,1964902000.0,
000333,美的集团,2019-03-31 00:00:00,6129026000.0,75500426000.0,67660134000.0,6.2821547525,7.4165624507,53877858000.0,53877858000.0,3.872596853,9513634000.0,1977121000.0,-481058000.0,7683772000.0,7718955000.0,1177710000.0,,219212000.0,
000333,美的集团,2018-09-30 00:00:00,17900239000.0,207404713000.0,185720216000.0,7.8984631255,10.4600628974,149664730000.0,149664730000.0,7.2408125541,24397272000.0,5629888000.0,-1727756000.0,22776551000.0,22924417000.0,3834166000.0,,1467047000.0,
000333,美的集团,2018-06-30 00:00:00,12936846000.0,143735916000.0,128041762000.0,12.6165097707,15.0222125455,103881438000.0,103881438000.0,11.639152263,16892503000.0,3335291000.0,-984113000.0,16300282000.0,16394573000.0,2614882000.0,,943779000.0,
000333,美的集团,2018-03-31 00:00:00,5256231000.0,70287509000.0,63943697000.0,15.6700042727,17.168073164,51869174000.0,51869174000.0,15.8237217503,7468456000.0,1818424000.0,95978000.0,6754463000.0,6789171000.0,1143376000.0,,399441000.0,
000333,美的集团,2017-12-31 00:00:00,17283689000.0,241918896000.0,224734592000.0,56.2728991566,51.3490500204,180460552000.0,180460552000.0,56.0869004024,26738673000.0,7510102000.0,815949000.0,21627854000.0,21854774000.0,3243584000.0,,955657000.0,
000333,美的集团,2017-09-30 00:00:00,14998175000.0,187764435000.0,172344718000.0,68.1444576771,60.3755759336,139559489000.0,139559489000.0,66.4830892417,19954150000.0,4819384000.0,852759000.0,18986904000.0,18839340000.0,2737940000.0,,599661000.0,
