SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,TOTAL_ASSETS,FIXED_ASSET,MONETARYFUNDS,MONETARYFUNDS_RATIO,ACCOUNTS_RECE,ACCOUNTS_RECE_RATIO,INVENTORY,INVENTORY_RATIO,TOTAL_LIABILITIES,ACCOUNTS_PAYABLE,ACCOUNTS_PAYABLE_RATIO,ADVANCE_RECEIVABLES,ADVANCE_RECEIVABLES_RATIO,TOTAL_EQUITY,TOTAL_EQUITY_RATIO,TOTAL_ASSETS_RATIO,TOTAL_LIAB_RATIO,CURRENT_RATIO,DEBT_ASSET_RATIO
000858,五粮液,2022-12-31 00:00:00,152811927251.18,5312971445.61,92358426975.79,12.1726540187,35686942.32,-44.4069015162,15980657013.57,14.0248339786,36124899211.08,7246802709.58,34.1116012679,16160671.49,47.3117963509,116687028040.1,15.0851762936,12.6041979687,5.2634124491,384.7009507506,23.6401044479
000858,五粮液,2023-09-30 00:00:00,151803365286.04,5250181525.89,98147708750.12,23.7273478134,140622406.52,10.3823469389,15627196018.02,4.4501817018,27163408424.31,7453945407.37,-2.0700868411,21076698.67,27.3564496621,124639956861.73,13.6313777364,12.7103453601,8.6687366127,500.6584484335,17.8938117565
000858,五粮液,2023-06-30 00:00:00,150573350683.26,5255603976.05,92557297986.15,22.882953906,78578720.94,-36.0972687479,16098267801.05,12.1007694597,30778440179.94,7615342474.91,16.4091368111,18726957.9,58.9721359632,119794910503.32,13.5644571666,15.544903483,23.9586462635,441.5644371437,20.4408283672
000858,五粮液,2021-12-31 00:00:00,135620812221.13,5610147000.37,82335955927.74,20.7102573007,64193116.22,54.6964832623,14015067118.25,5.9478168408,34228928576.26,5403561392.95,59.73280593,10970385.19,-54.1942397223,101391883644.87,15.5354482586,19.0772450347,30.9702297334,363.3364619003,25.2386989988
000858,五粮液,2023-03-31 00:00:00,160421137093.8,5254759793.22,101128316229.65,28.7420683584,88451118.86,-50.3779782539,16065154749.7,16.0241566729,30627634152.37,7492576221.73,19.232651421,16420891.54,38.3339590696,129793502941.43,15.1198852263,16.4121822134,22.2267543969,476.1747267473,19.0920191112
000858,五粮液,2022-09-30 00:00:00,134684500168.15,5412997719.58,79325800225.0,8.4337570908,127395738.92,9.4309017217,14961387106.67,10.2938542914,24996525469.06,7611510280.09,52.590381335,16549376.75,32.4744953058,109687974699.09,15.3942090547,13.886083664,7.7089822539,487.8002881753,18.5593185837
000858,五粮液,2022-06-30 00:00:00,130315873867.5,5489408751.66,75321511278.92,-1.7308924048,122966138.38,-8.368705994,14360532830.1,8.4679244831,24829603345.71,6541876938.12,49.6464574381,11780025.34,-6.8786667123,105486270521.79,16.2460036773,4.5925859815,-26.6477087308,476.8818176133,19.053398952
000858,五粮液,2020-12-31 00:00:00,113893139013.72,5866880860.03,68209577022.61,7.8602839979,41496170.35,-69.1362847956,13228273631.45,-3.2994044911,26134892369.01,3382875146.71,3.8433007883,23949793.92,-99.8088711659,87758246644.71,15.3256303666,7.0454699186,-13.7488619637,395.5172531625,22.9468540382
000858,五粮液,2022-03-31 00:00:00,137804423938.79,5551636200.39,78551104172.22,7.0474105996,178249728.14,23.4066678526,13846387864.72,9.9823321633,25058044209.3,6283996986.09,61.6036725488,11870470.31,-1.3790994134,112746379729.49,15.5883606535,14.6243063218,10.4783932681,505.3597570532,18.1837734182
000858,五粮液,2021-09-30 00:00:00,118262474074.98,5631331698.39,73156000818.63,27.2548325088,116416603.46,-39.7113907417,13565023366.71,3.8083207511,23207466031.13,4988197954.22,61.7240770625,12492500.32,,95055008043.85,15.8193341076,18.2876094764,29.6002978755,476.1788442264,19.6236940015
000858,五粮液,2021-06-30 00:00:00,124593796629.7,5694386075.28,76648209312.34,37.6753639768,134196662.52,-21.0014511241,13239428059.99,0.522610665,33849799257.9,4371554830.04,53.7341700395,12650189.73,,90743997371.8,15.9584069495,32.0004551171,109.8136148458,342.2366578959,27.16812568
000858,五粮液,2019-12-31 00:00:00,106396972333.66,6108745912.72,63238825723.79,29.1641392263,134449693.03,5.5904196323,13679619615.41,15.9735894413,30300924676.5,3257672975.56,3.340280619,12530706854.77,86.8376367349,76096047657.16,16.8561161262,23.5819498868,44.4632919016,321.7181757888,28.4791230539
000858,五粮液,2021-03-31 00:00:00,120222689550.59,5782726490.97,73379733084.87,18.559753018,144440921.42,-24.9482466436,12589647439.16,1.2303206938,22681398116.0,3888523625.1,13.1772017801,12036465.13,,97541291434.59,15.904588009,14.0074978504,6.5103216251,483.2243127148,18.8661543015
000858,五粮液,2020-09-30 00:00:00,99978750604.93,5949990361.01,57487797811.99,1.8341585054,193098837.23,5.6510062222,13067375783.14,5.8565705192,17906954236.65,3084387955.6,-14.6783906248,,,82071796368.28,15.5931171879,7.785587732,-17.6936850852,504.7890780168,17.9107601648
000858,五粮液,2020-06-30 00:00:00,94388914431.49,5991255131.9,55673148120.58,11.5876159167,169872313.39,3.5292167637,13170597114.82,9.7149969415,16133271085.76,2843580466.8,-17.1515657156,,,78255643345.73,15.6234107118,7.159293859,-20.9204574687,532.4085762838,17.0923367251
000858,五粮液,2018-12-31 00:00:00,86094265733.09,5262163428.02,48960048897.95,20.6156041123,127331336.97,16.2105378696,11795461088.43,11.7227021981,20974826391.98,3152374810.72,0.4607894805,6706735898.48,44.3637014076,65119439341.11,19.1042387225,21.3918177653,29.0893512677,377.2013974051,24.3626288155
000858,五粮液,2020-03-31 00:00:00,105451563991.29,6049610927.03,61892616353.3,8.9814423579,192455092.6,-40.6921772055,12436636921.5,7.5540373611,21295023590.15,3435783500.51,,,,84156540401.14,17.8865685702,12.2902317742,-5.4483322006,454.8480937099,20.1941277911
000858,五粮液,2019-09-30 00:00:00,92757067719.93,6187661572.37,56452371832.53,38.8826524688,182770466.78,14.4938445378,12344416335.28,7.9291528822,21756476711.64,3615013802.7,,5864876475.69,140.373562872,71000591008.29,16.3100311205,21.8502110618,44.277617789,387.4664102094,23.4553304092
000858,五粮液,2019-06-30 00:00:00,88082807409.78,6246670223.46,49891869866.74,17.5964762981,164081520.85,-8.180593405,12004372676.46,5.914162015,20401320707.41,3432268203.21,-13.563104579,4354178669.75,-1.4665076472,67681486702.37,15.601505194,9.5140600615,-6.7724313947,390.6076156367,23.1615241468
000858,五粮液,2019-03-31 00:00:00,93909828419.76,5182607453.84,56791885860.74,32.5632616993,324502036.21,111.9306708004,11563152092.32,10.0679412101,22522102555.95,,,4853443178.71,-15.9088371867,71387725863.81,19.2014669595,17.9062218486,13.9805348678,385.9325789559,23.9826894958
000858,五粮液,2017-12-31 00:00:00,70922626679.43,5292872389.14,40591803405.78,17.0942699332,109569527.26,1.7332469831,10557801464.12,14.0475337759,16248301030.25,3137915625.61,44.5186519967,4645721765.99,-26.2429344802,54674325649.18,13.4184237052,14.0704520992,16.3206208619,396.2899906115,22.9098974347
000858,五粮液,2018-09-30 00:00:00,76123846574.96,5282593649.34,40647532884.06,9.8301027548,159633443.63,36.0744954211,11437518043.67,15.3759092155,15079592417.07,,,2439900796.75,-50.465849882,61044254157.89,17.7248448483,15.193597117,5.9699155458,459.8369983016,19.8092885417
000858,五粮液,2018-06-30 00:00:00,80430592528.77,5342671729.53,42426330649.81,23.1151061365,178700262.76,46.7820589413,11334058116.57,17.7245843088,21883355977.86,3970836974.76,12.6035209469,4418983399.23,-19.8161997775,58547236550.91,17.6162980879,24.8275475836,49.3214302122,334.6613902513,27.2077517893
000858,五粮液,2016-12-31 00:00:00,62174406583.2,5431085733.16,34665917836.05,31.4387952722,107702772.21,0.7009983141,9257369374.48,6.3961350846,13968547373.5,2171287638.14,105.1777642607,6298680313.88,215.8921076257,48205859209.7,8.7060192439,18.3223372031,70.3175235456,398.1954374177,22.466716035
000858,五粮液,2018-03-31 00:00:00,79647898938.15,5210283730.35,42841346186.51,17.5531668658,153117071.25,-0.2863497775,10505467773.08,12.1895129642,19759604200.9,3838984045.97,26.2529370188,5771644744.03,-7.4620936101,59888294737.25,15.2915980573,17.3594670681,24.1060198053,369.0588079561,24.8086948486
000858,五粮液,2017-09-30 00:00:00,66083400883.52,5277803007.66,37009464495.18,9.9471606819,117313272.51,-8.1254535901,9913263627.94,4.9805385483,14230069297.88,3556064072.62,131.7326501611,4925694275.44,-26.734076105,51853331585.64,11.6428890144,9.5091500812,2.3791216038,419.8668624516,21.5335002552
000858,五粮液,2017-06-30 00:00:00,64433367542.44,5310208763.02,34460702655.58,12.7152980132,121745303.24,-2.0729430909,9627605128.63,2.9044405638,14655201163.53,3526387932.96,119.1793474201,5511067556.0,24.7695858162,49778166378.91,9.8005858536,7.4553437988,0.1869057909,395.49453129,22.7447388248
