SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,BASIC_EPS,DEDUCT_BASIC_EPS,WEIGHTAVG_ROE,YSTZ,SJLTZ,BPS,MGJYXJJE,XSMLL,YSHZ,SJLHZ,QDATE
000651,格力电器,2022-06-30 00:00:00,1.94,1.96,11.09,4.1251544916,21.25,16.117845838434,2.222390594776,24.4949628973,69.6146,86.4245,2022Q2
000651,格力电器,2023-06-30 00:00:00,2.26,2.15,12.23,4.157890922,10.52,18.699278917436,5.479926923028,28.746600632,79.5848,108.4074,2023Q2
000651,格力电器,2022-03-31 00:00:00,0.68,,3.83,6.0208883979,16.28,16.457236521955,0.573890363817,23.654952362,-29.0797,-46.0394,2022Q1
000651,格力电器,2023-03-31 00:00:00,0.73,,4.14,0.4435738226,2.65,18.102325256384,2.675202899325,27.4165805468,-14.6262,-33.7484,2023Q1
000651,格力电器,2021-12-31 00:00:00,4.04,3.82,21.34,11.235723276,4.01,17.525098854837,0.320293038294,24.2814230558,5.4,19.8935,2021Q4
000651,格力电器,2022-12-31 00:00:00,4.43,4.33,24.19,0.2618657823,6.26,17.181986051509,5.09081342027,26.035460021,-20.4238,-9.2889,2022Q4
000651,格力电器,2021-09-30 00:00:00,2.71,,15.02,9.4775530153,14.21,15.341059048633,1.074155638377,24.1321311576,-18.7306,2.8939,2021Q3
000651,格力电器,2022-09-30 00:00:00,3.25,,17.94,6.3022176679,17.0,16.996325202029,3.988102123224,25.5401276635,-12.8332,-8.3814,2022Q3
000651,格力电器,2021-06-30 00:00:00,1.62,1.5,8.11,30.3239594652,48.64,16.342399512868,-1.009223988795,23.7373446444,74.5233,74.676,2021Q2
000651,格力电器,2021-03-31 00:00:00,0.58,,2.95,60.3000682976,120.98,18.772366655173,-0.709054827788,24.4258981324,-22.1074,-59.3825,2021Q1
000651,格力电器,2020-12-31 00:00:00,3.71,3.39,18.88,-14.9674167494,-10.21,19.148165624898,3.198054849747,26.1417233686,-24.3327,15.5359,2020Q4
000651,格力电器,2020-09-30 00:00:00,2.28,,11.74,-18.6423676585,-38.06,19.075329063459,0.504011925239,23.3651154553,14.4353,52.7143,2020Q3
000651,格力电器,2020-06-30 00:00:00,1.06,1.0,5.57,-28.2072861354,-53.73,18.885917931447,-0.75097703494,21.1141701268,137.667,208.3493,2020Q2
000651,格力电器,2020-03-31 00:00:00,0.26,,1.39,-49.0108272302,-72.53,18.774733894293,-1.957012832282,17.4891798341,-52.2982,-39.5919,2020Q1
000651,格力电器,2019-12-31 00:00:00,4.11,4.02,25.72,0.2421388798,-5.75,18.310921069543,4.636795538112,27.5815391959,-24.8618,-69.1759,2019Q4
000651,格力电器,2019-09-30 00:00:00,3.68,,23.02,4.416031726,4.7307510212,16.754797484034,5.440683234292,30.1627350284,1.7446,3.5772,2019Q3
000651,格力电器,2019-06-30 00:00:00,2.29,2.23,14.95,6.8870213427,7.3713794208,15.366659349769,2.735505889589,31.0230011081,39.8205,42.4279,2019Q2
000651,格力电器,2018-12-31 00:00:00,4.36,4.25,33.36,33.3319527987,16.9742032357,15.181379772671,4.478390421604,30.2281692815,-13.9053,-38.8329,2018Q4
000651,格力电器,2019-03-31 00:00:00,0.94,,6.14,2.4500640658,1.6168168627,15.540919877829,1.285498566324,30.5895927617,-17.945,11.5554,2019Q1
000651,格力电器,2018-09-30 00:00:00,3.51,,27.76,33.9414715028,36.5942263376,14.409786151145,2.50572315163,30.1534010402,11.6703,15.055,2018Q3
000651,格力电器,2018-06-30 00:00:00,2.13,2.1,17.8,31.3964955526,35.4797470394,13.019787775742,1.485964407369,30.0265260771,29.8654,29.435,2018Q2
000651,格力电器,2018-03-31 00:00:00,0.93,,8.18,33.2615856273,39.0353381294,11.789241169149,2.387016757336,30.8577538275,5.3496,-19.5832,2018Q1
000651,格力电器,2017-12-31 00:00:00,3.72,3.52,37.44,36.2413274088,44.8662593169,10.90722228084,2.715893231527,32.8577137378,-9.5533,15.5227,2017Q4
000651,格力电器,2017-09-30 00:00:00,2.57,,25.1,33.7299210705,37.6848102132,9.745100207169,0.953982357648,31.3731378274,5.0531,10.487,2017Q3
000651,格力电器,2017-06-30 00:00:00,1.57,1.5,16.14,39.7860501062,47.63807282,8.720173217558,0.604604793664,31.9372979446,33.1282,35.4564,2017Q2
000651,格力电器,2016-12-31 00:00:00,2.57,2.59,30.44,9.4950530306,23.0483570945,8.971842142582,2.470182328346,32.7018330366,-21.7851,-13.1497,2016Q4
000651,格力电器,2017-03-31 00:00:00,0.67,,7.19,19.6719951424,27.049686776,9.619208728202,1.459197960785,34.3699601645,14.019,-4.2312,2017Q1
000651,格力电器,2016-09-30 00:00:00,1.87,,21.13,0.1143059004,12.8240080992,8.269163274774,2.354204987521,34.1202715137,34.7538,48.8469,2016Q3
000651,格力电器,2016-06-30 00:00:00,1.06,1.17,12.62,-2.9432835518,11.9165472592,7.465849037507,1.904152820347,35.6938353709,-0.4171,2.6216,2016Q2
000651,格力电器,2016-03-31 00:00:00,0.53,,6.43,0.0173647391,13.8525330939,8.426696270197,1.016937098425,33.2511505691,48.6026,22.4867,2016Q1
000651,格力电器,2015-12-31 00:00:00,2.08,2.05,27.24,-28.171014851,-11.4638307369,7.899518288885,7.377055710716,32.4597052701,-47.3274,-39.042,2015Q4
000651,格力电器,2015-09-30 00:00:00,1.65,,21.65,-16.341031885,1.2737130142,7.469381134064,6.146446001988,32.1264467323,20.9229,43.6808,2015Q3
000651,格力电器,2015-06-30 00:00:00,0.95,1.73,12.1,-12.4211992206,0.045482535,13.669103885727,9.89280951253,28.0890660032,5.6711,6.1266,2015Q2
000651,格力电器,2015-03-31 00:00:00,0.46,,5.55,0.3338143007,23.0941704808,15.603749823142,7.699423012028,32.2160743904,-37.2441,-35.8687,2015Q1
000651,格力电器,2014-12-31 00:00:00,2.35,4.7,35.23,16.6293014409,30.2215112524,14.679065842573,6.296546800985,36.100255058,-2.6845,5.3104,2014Q4
000651,格力电器,2014-09-30 00:00:00,1.63,,25.91,12.6858681957,29.6733171104,13.244822401867,7.270319645466,35.534423183,21.1353,18.6489,2014Q3
000651,格力电器,2014-06-30 00:00:00,1.9,2.12,15.27,10.1718069287,42.4075541441,11.898141636571,6.418309744989,33.2037406566,35.6251,53.6145,2014Q2
000651,格力电器,2014-03-31 00:00:00,0.75,,6.33,12.188048413,68.8638926675,12.218545283428,7.021487299316,35.0031648204,-20.0537,-31.5104,2014Q1
000651,格力电器,2013-12-31 00:00:00,3.61,2.96,35.77,19.9110373433,47.3057498013,11.466565725658,4.31197385417,33.0357514025,-11.3025,-7.6157,2013Q4
000651,格力电器,2013-09-30 00:00:00,2.52,,25.97,15.0261222949,42.1313222911,10.406085543413,6.523061016484,29.605553675,13.0585,32.9535,2013Q3
000651,格力电器,2013-06-30 00:00:00,1.33,1.08,14.25,10.736397405,39.8519111768,9.199196982934,5.236918232086,27.6051256185,39.9373,100.7308,2013Q2
000651,格力电器,2013-03-31 00:00:00,0.45,,4.88,10.9763893601,13.765052248,9.326540647017,5.324025971572,29.6273855443,-2.8437,-34.7886,2013Q1
000651,格力电器,2012-12-31 00:00:00,2.47,2.34,31.38,19.8675793204,40.9156550587,8.891067418781,6.120202730106,26.2929107455,-20.497,-16.8039,2012Q4
000651,格力电器,2012-09-30 00:00:00,1.79,,23.51,20.4292243337,41.3415055201,8.21,6.11,24.8141076424,2.2897,44.9805,2012Q3
000651,格力电器,2012-06-30 00:00:00,0.96,0.93,13.21,20.0404237308,30.0615997811,7.379991921437,5.206764540988,22.8621616365,40.4573,44.6349,2012Q2
000651,格力电器,2012-03-31 00:00:00,0.39,,5.48,16.2904602337,25.5603870786,7.321791932578,6.192956619111,22.4915717402,3.3199,-19.8544,2012Q1
000651,格力电器,2011-12-31 00:00:00,1.86,1.81,34.0,37.3475413439,22.4808130329,6.24824731432,1.191019337484,18.0665906474,-18.4296,-6.4304,2011Q4
000651,格力电器,2011-09-30 00:00:00,1.34,,26.53,44.648542235,30.5346178388,5.715996926703,2.261659834786,17.3511875212,3.7896,22.9594,2011Q3
