SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,TOTAL_ASSETS,FIXED_ASSET,MONETARYFUNDS,MONETARYFUNDS_RATIO,ACCOUNTS_RECE,ACCOUNTS_RECE_RATIO,INVENTORY,INVENTORY_RATIO,TOTAL_LIABILITIES,ACCOUNTS_PAYABLE,ACCOUNTS_PAYABLE_RATIO,ADVANCE_RECEIVABLES,ADVANCE_RECEIVABLES_RATIO,TOTAL_EQUITY,TOTAL_EQUITY_RATIO,TOTAL_ASSETS_RATIO,TOTAL_LIAB_RATIO,CURRENT_RATIO,DEBT_ASSET_RATIO
000333,美的集团,2022-12-31 00:00:00,422555267000.0,26082992000.0,55270099000.0,-23.1030658045,28237973000.0,14.618723322,46044897000.0,0.2622960729,270631465000.0,64233225000.0,-2.6526820113,,,151923802000.0,12.6821556548,8.92112658,6.9178120595,126.5373015342,64.046406739
000333,美的集团,2023-06-30 00:00:00,462739635000.0,28336765000.0,71734919000.0,-6.4757411997,36454972000.0,23.2152183333,33693045000.0,-8.3203354438,304497120000.0,71684891000.0,9.3862469272,,,158242515000.0,12.7095722624,12.0152486003,11.6577863662,111.464478075,65.8031205821
000333,美的集团,2021-12-31 00:00:00,387946104000.0,22852848000.0,71875556000.0,-11.4947304462,24636440000.0,7.2158186377,45924439000.0,47.7785340827,253121028000.0,65983559000.0,22.3497861433,,,134825076000.0,8.5223946792,7.6483994429,7.1885870298,111.6728098314,65.2464415521
000333,美的集团,2023-03-31 00:00:00,441087159000.0,26287025000.0,58975173000.0,-15.5650332742,35551438000.0,19.8324409127,33356961000.0,-20.1242568886,279642424000.0,66320879000.0,2.2499311957,,,161444735000.0,13.0070055429,8.1513773604,5.5334886531,123.4083390797,63.3984504636
000333,美的集团,2022-09-30 00:00:00,417453076000.0,24084306000.0,63154762000.0,13.0373376862,31431007000.0,20.9601666649,36554195000.0,10.1091458541,268589662000.0,61617766000.0,0.0260772016,,,148863414000.0,16.0226577405,10.9262865249,8.2899249135,135.0645237653,64.3400845368
000333,美的集团,2022-06-30 00:00:00,413104145000.0,23473308000.0,76701938000.0,20.9299972381,29586420000.0,7.228899681,36750838000.0,6.5256347732,272705675000.0,65533733000.0,1.6593623102,,,140398470000.0,13.724606837,8.6512293239,6.2118249072,118.3683456356,66.0137832798
000333,美的集团,2020-12-31 00:00:00,360382603000.0,22239214000.0,81210482000.0,14.515086762,22978363000.0,23.117155176,31076529000.0,-4.2130912362,236145503000.0,53930261000.0,26.7880001346,,,124237100000.0,15.5735914765,19.3496060423,21.4369671617,131.227079142,65.5263325794
000333,美的集团,2022-03-31 00:00:00,407842387000.0,22909694000.0,69846860000.0,-18.9935919137,29667624000.0,12.4271254152,41761065000.0,32.5889607646,264979797000.0,64861539000.0,11.0582621859,,,142862590000.0,14.8698172106,10.4741411654,8.2409943428,113.2584986448,64.971127437
000333,美的集团,2021-09-30 00:00:00,376333770000.0,22415206000.0,55870709000.0,-15.9706827884,25984593000.0,12.6016697202,33198146000.0,37.5760937745,248028302000.0,61601702000.0,15.0767527657,,,128305468000.0,6.8064135592,7.3878738495,7.6911558891,137.301170499,65.9064696745
000333,美的集团,2021-06-30 00:00:00,380211202000.0,22554094000.0,63426726000.0,19.6116958404,27591834000.0,7.4787416389,34499525000.0,58.8756798188,256756416000.0,64464041000.0,30.2520076919,,,123454786000.0,9.8722655604,13.6102836975,15.4996696972,132.0315585473,67.5299451067
000333,美的集团,2019-12-31 00:00:00,301955419000.0,21664682000.0,70916841000.0,154.2890454341,18663819000.0,-3.7459952654,32443399000.0,9.4396333306,194459322000.0,42535777000.0,15.2680291107,16231854000.0,-3.2762658964,107496097000.0,16.269167249,14.5066759436,13.5551227282,150.0034410007,64.4000106519
000333,美的集团,2021-03-31 00:00:00,369174526000.0,21955436000.0,86223870000.0,9.8185418566,26388315000.0,27.7755490547,31496638000.0,29.30425612,244805398000.0,58403164000.0,30.7729818489,,,124369128000.0,11.4602858849,22.3775181044,28.78596099,131.7967500141,66.3115628948
000333,美的集团,2020-09-30 00:00:00,350443450000.0,21887841000.0,66489543000.0,26.8197379408,23076561000.0,13.900998569,24130752000.0,0.5254991042,230314458000.0,53530970000.0,45.7923677049,,,120128992000.0,15.1080524225,22.8379662561,27.2967126021,133.170584648,65.7208625243
000333,美的集团,2020-06-30 00:00:00,334662664000.0,22278992000.0,53027194000.0,47.7488547813,25671899000.0,11.5305257148,21714793000.0,-9.9218081485,222300563000.0,49491783000.0,26.8859745107,,,112362101000.0,13.9551911537,17.8249329987,19.882639669,131.0828520203,66.4252654727
000333,美的集团,2018-12-31 00:00:00,263701148000.0,22437212000.0,27888280000.0,-42.2294310418,19390174000.0,10.6194708945,29645018000.0,0.6821453187,171246631000.0,36901626000.0,4.9988907313,16781666000.0,-3.6038527748,92454517000.0,11.4914999693,6.2853119522,3.6716806264,140.2809734646,64.939660786
000333,美的集团,2020-03-31 00:00:00,301668584000.0,21394653000.0,78514856000.0,170.7028723415,20652085000.0,,24358547000.0,1.1145052263,190087022000.0,44659962000.0,,,,111581562000.0,12.1783711265,8.159747394,5.9321536642,153.9072965888,63.0118719953
000333,美的集团,2019-09-30 00:00:00,285289199000.0,21456506000.0,52428387000.0,23.3932976997,20260192000.0,6.0643136283,24004608000.0,-1.7208930136,180927263000.0,36717265000.0,,12139003000.0,-8.1076037816,104361936000.0,13.4575164928,11.1583607661,9.8740551488,154.6202692669,63.4188969068
000333,美的集团,2019-06-30 00:00:00,284033825000.0,21508572000.0,35890088000.0,-20.3994805153,23017823000.0,12.0750416779,24106604000.0,1.6155652295,185431822000.0,39004928000.0,8.3594083046,10417962000.0,-5.3705454257,98602003000.0,12.1259614748,13.1618778604,13.720552497,148.5629470795,65.2851194748
000333,美的集团,2019-03-31 00:00:00,278910215000.0,21974050000.0,29004072000.0,-47.6252628278,,,24090062000.0,-9.1201830237,179442233000.0,,,13144610000.0,-9.5656013529,99467982000.0,13.1512082546,10.4303960692,8.9778291058,147.8897278347,64.3369168103
000333,美的集团,2017-12-31 00:00:00,248106858000.0,22600724000.0,48274200000.0,77.6804090585,17528717000.0,30.2813383556,29444166000.0,88.4197867305,165181687000.0,35144777000.0,38.6001200459,17409063000.0,69.8051719723,82925171000.0,20.2220109238,45.4313153478,62.5419808497,142.5879823169,66.5768323905
000333,美的集团,2018-09-30 00:00:00,256651139000.0,22292839000.0,42488845000.0,1.9958212984,19101799000.0,10.0304761475,24424935000.0,2.829370824,164667867000.0,,,13210019000.0,-25.7145368401,91983272000.0,14.6155738134,5.9739314948,1.6910564197,142.3239134487,64.1601933432
000333,美的集团,2018-06-30 00:00:00,250997801000.0,22256928000.0,45087756000.0,31.7622732482,20537867000.0,5.9697668949,23723338000.0,13.5901117345,163059199000.0,35995885000.0,11.4464674428,11009217000.0,-22.3094121749,87938602000.0,17.259455484,8.6492998084,4.5106568578,138.6791668264,64.964393453
000333,美的集团,2018-03-31 00:00:00,252566526000.0,22238599000.0,55377981000.0,56.9132585997,19752160000.0,9.5722196954,26507604000.0,20.6135768198,164659394000.0,36018842000.0,11.202389329,14534967000.0,22.8471339534,87907132000.0,18.1067108996,11.7974509521,8.697457127,146.6378805213,65.1944644478
000333,美的集团,2016-12-31 00:00:00,170600711000.0,21056791000.0,27169118000.0,129.0437588945,13454511000.0,29.7230699871,15626897000.0,49.5548973068,101624015000.0,25356960000.0,45.3230512972,10252375000.0,82.5448008061,68976696000.0,23.1031577133,32.4108575364,39.5736549024,135.2499551489,59.56834201
000333,美的集团,2017-09-30 00:00:00,242183276000.0,22348578000.0,41657437000.0,124.161374479,17360462000.0,36.4170251775,23752878000.0,127.6411196746,161929547000.0,32588743000.0,52.8476106356,17782778000.0,168.9307664388,80253729000.0,21.6936300431,48.5863450272,66.8615471687,142.1441647342,66.8623984589
000333,美的集团,2017-06-30 00:00:00,231016492000.0,22603151000.0,34219018000.0,127.3116169002,19380874000.0,45.7962436667,20885038000.0,118.4802921406,156021600000.0,32298812000.0,48.9805023014,14170593000.0,246.4862095946,74994892000.0,19.6870981032,37.9180318756,48.8136345236,110.4716562832,67.5369964496
000333,美的集团,2017-03-31 00:00:00,225914387000.0,22904995000.0,35292098000.0,149.4571713366,18026613000.0,49.8007101705,21977297000.0,121.2998727319,151484127000.0,32390349000.0,66.2392292742,11831751000.0,162.8551935543,74430260000.0,22.0519846497,52.7247383427,74.2395229436,109.4622762148,67.0537759952
000333,美的集团,2015-12-31 00:00:00,128841935000.0,18729881000.0,11861977000.0,91.2209550975,10371718000.0,10.7840620852,10448937000.0,-30.4333147138,72810313000.0,17448684000.0,-13.3520851246,5616361000.0,40.6713771183,56031622000.0,22.5231587869,7.1075739762,-2.3475109492,129.670437479,56.5113470238
000333,美的集团,2016-09-30 00:00:00,162991610000.0,20836612000.0,18583682000.0,99.4465949154,12726023000.0,18.148215032,10434353000.0,21.8209063286,97044256000.0,21321068000.0,24.5386739147,6612400000.0,81.1788543376,65947354000.0,21.9652002995,21.3220236466,20.8888041834,133.4402315351,59.5394180105
000333,美的集团,2016-06-30 00:00:00,167502747000.0,21000004000.0,15053792000.0,2.9727520408,13293123000.0,-2.3790172004,9559232000.0,-6.3724832133,104843619000.0,21679892000.0,12.5010320192,4089800000.0,42.5918627017,62659128000.0,19.4658044587,18.140479915,17.3623541703,125.6733960856,62.5921788614
000333,美的集团,2016-03-31 00:00:00,147922589000.0,18578653000.0,14147558000.0,53.608768417,12033730000.0,-10.7810671676,9931003000.0,-9.9592371328,86940164000.0,19484179000.0,-5.9651084385,4501243000.0,7.715918171,60982425000.0,23.4993665308,8.9019942279,0.564440745,127.9334889273,58.774095686
000333,美的集团,2014-12-31 00:00:00,120292086000.0,19521814000.0,6203283000.0,-60.1681696997,9362103000.0,18.0825618463,15020030000.0,-1.1692135077,74560632000.0,20137454000.0,15.017931078,3992540000.0,-19.8823482918,45731454000.0,17.0184135846,24.0815066377,28.8517013631,118.1620270219,61.9829903025
000333,美的集团,2015-09-30 00:00:00,134346267150.0,18631440220.0,9317623100.0,10.0033687681,10771235940.0,2.8589378896,8565322090.0,-21.9274295704,80275635660.0,17120037760.0,-6.6032474074,3649653280.0,-37.2515490716,54070631490.0,22.4014753299,15.9928697852,12.0416246434,124.6360875188,59.7527846236
