SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,NETCASH_OPERATE,NETCASH_OPERATE_RATIO,SALES_SERVICES,SALES_SERVICES_RATIO,PAY_STAFF_CASH,PSC_RATIO,NETCASH_INVEST,NETCASH_INVEST_RATIO,RECEIVE_INVEST_INCOME,RII_RATIO,CONSTRUCT_LONG_ASSET,CLA_RATIO,NETCASH_FINANCE,NETCASH_FINANCE_RATIO
000333,美的集团,2009-09-30 00:00:00,4436342714.99,162.9462589408,34279679385.67,1259.0879182332,2442128172.73,89.6990325512,-1213121175.59,-44.5577742532,265895614.99,9.7663094389,1370019480.15,50.3206274421,-500331823.88,-18.3771192101
000333,美的集团,2008-03-31 00:00:00,-467455356.71,-46.9647496524,10336797063.36,1038.5271648301,630516564.51,63.3473382621,-1573721305.88,-158.1101298604,3982300.18,0.4000975244,452354585.37,45.4475909861,3036509034.57,305.0748795128
000333,美的集团,2008-09-30 00:00:00,3424921568.44,208.9929453514,36401556511.32,2221.2679498351,2227737342.23,135.9392848327,-3924780236.45,-239.4949388129,56430672.51,3.4434693526,2677355059.59,163.3755134165,2099661936.05,128.1239653196
000333,美的集团,2007-06-30 00:00:00,1623307761.65,312.7928479459,27944000913.8,5384.4895190703,1010572663.72,194.7257993887,-428021335.67,-82.4748182253,31655753.24,6.0997017594,574629599.92,110.7245547143,-676314278.02,-130.3180297206
000333,美的集团,2010-06-30 00:00:00,6062067982.84,106.2131182914,34855398113.29,610.6992751287,2525691269.7,44.2524805653,-1653597816.4,-28.9725850942,121401287.17,2.1270644459,2035853644.27,35.6700658183,1304470618.66,22.8555490502
000333,美的集团,2008-06-30 00:00:00,1968357718.88,89.8835468212,27203818705.06,1242.2415340657,1523848659.74,69.5853812762,-2902298954.4,-132.5312576341,56170672.51,2.5649907149,1649904882.87,75.3416421047,3114149431.25,142.2052473121
000333,美的集团,2009-06-30 00:00:00,2801266970.28,784.6263459421,23226158782.22,6505.5763298927,1680151066.15,470.6051960239,-1025455853.05,-287.2270609835,229972111.24,64.4144878818,996328464.09,279.0685680554,-1418680950.86,-397.3682131481
000333,美的集团,2010-09-30 00:00:00,9527622126.24,133.7594485142,55708908931.71,782.1041637986,3707766610.27,52.0537874443,-4238927255.56,-59.5108164957,160327206.98,2.2508532038,3909811218.37,54.8903163281,1848258337.93,25.9479241218
000333,美的集团,2009-03-31 00:00:00,974804500.0,39763.5937181318,8814066800.0,359537.703446869,809549400.0,33022.6147256782,-399332100.0,-16289.296349174,3595800.0,146.6775443606,363680900.0,14835.0356924332,-573020900.0,-23374.2973689578
000333,美的集团,2011-03-31 00:00:00,-827900090.72,-14.8067002796,22643343011.73,404.9681804143,2168155024.61,38.7766857004,-2210555980.2,-39.5350117932,95278885.82,1.7040291711,1817732624.86,32.5095050315,8635907887.8,154.4501579001
000333,美的集团,2010-03-31 00:00:00,786801236.87,75.7128806358,12628753937.23,1215.2489022927,1448149807.05,139.3536109833,-1094410925.28,-105.3137690555,55298473.47,5.3213016515,845229607.31,81.3353682853,1347795723.25,129.6966653508
000333,美的集团,2010-12-31 00:00:00,4731690836.22,160.689331575,61381152712.72,2084.518355512,5790663016.41,196.6522754108,-5913099614.41,-200.8102510211,384182621.62,13.0469320181,6050450581.69,205.4747221135,4133064812.93,140.359851295
000333,美的集团,2009-12-31 00:00:00,3524105320.9,204.1462669165,47447119813.02,2748.542255058,3430568219.69,198.7277994499,-3183568865.79,-184.4194881374,241340482.25,13.9805011544,2047096214.96,118.585289669,1392381795.78,80.658640945
000333,美的集团,2008-12-31 00:00:00,4419600460.0,310.9799910873,45977038881.59,3235.1202944748,3075203396.08,216.3830720355,-5574033627.44,-392.2103238675,109916287.22,7.7341303426,3167618646.82,222.8857625189,2583227776.05,181.765785854
000333,美的集团,2022-06-30 00:00:00,21394710000.0,103.0539546666,153366180000.0,738.7336103698,18431348000.0,88.7800442837,-6562852000.0,-31.611919605,3023041000.0,14.5613719545,2868894000.0,13.8188772935,5783043000.0,27.8557386923
000333,美的集团,2023-06-30 00:00:00,29784674000.0,834.0305552265,174235446000.0,4878.9416250627,20253369000.0,567.1349161746,-27046688000.0,-757.3614607861,3426440000.0,95.9471859806,2794669000.0,78.2563320231,-6437928000.0,-180.2748844707
000333,美的集团,2022-12-31 00:00:00,34657828000.0,327.5189996077,316997825000.0,2995.6525412333,35674963000.0,337.1309994614,-13509510000.0,-127.6658537399,3800095000.0,35.9111746072,7352115000.0,69.4780223908,-10854881000.0,-102.579416286
000333,美的集团,2023-03-31 00:00:00,9272312000.0,135.3147106746,76222164000.0,1112.3417836511,11721976000.0,171.0636776431,-25100790000.0,-366.3062822469,1247758000.0,18.2090521503,1554048000.0,22.6788696815,9068738000.0,132.3438705097
000333,美的集团,2021-12-31 00:00:00,35091704000.0,206.4031998059,310489824000.0,1826.2462598221,32095846000.0,188.7820926245,13599586000.0,79.9903608681,5648277000.0,33.2221668743,6825357000.0,40.1455433631,-31204539000.0,-183.5395824058
