SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,TOTAL_ASSETS,FIXED_ASSET,MONETARYFUNDS,MONETARYFUNDS_YOY,ACCOUNTS_RECE,ACCOUNTS_RECE_YOY,INVENTORY,INVENTORY_YOY,TOTAL_LIABILITIES,ACCOUNTS_PAYABLE,ACCOUNTS_PAYABLE_YOY,ADVANCE_RECEIVABLES,ADVANCE_RECEIVABLES_YOY,TOTAL_EQUITY,TOTAL_EQUITY_YOY,TOTAL_ASSETS_YOY,TOTAL_LIAB_YOY,CURRENT_RATIO,DEBT_ASSET_RATIO,PARENT_NETPROFIT,TOTAL_REVENUE,TOTAL_OPERATE_COST,TOTAL_EXPENSE_YOY,TOI_RATIO,OPERATE_COST,OPERATE_EXPENSE,OPERATE_EXPENSE_YOY,SALE_EXPENSE,MANAGE_EXPENSE,FINANCE_EXPENSE,OPERATE_PROFIT,TOTAL_PROFIT,INCOME_TAX,OPERATE_INCOME,INTEREST_NI,INTEREST_NI_RATIO,NETCASH_OPERATE,NETCASH_OPERATE_YOY,SALES_SERVICES,SALES_SERVICES_YOY,PAY_STAFF_CASH,PAY_STAFF_CASH_YOY,NETCASH_INVEST,NETCASH_INVEST_YOY,RECEIVE_INVEST_INCOME,RECEIVE_INVEST_INCOME_YOY,CONSTRUCT_LONG_ASSET,CONSTRUCT_LONG_ASSET_YOY,NETCASH_FINANCE,NETCASH_FINANCE_YOY,BASIC_EPS,DEDUCT_BASIC_EPS,WEIGHTAVG_ROE,OPERATE_INCOME_YOY,NETPROFIT_YOY,BOOK_VALUE_PER_SHARE,NETCASH_OPERATE_PER_SHARE,GROSS_MARGIN,OPERATE_INCOME_MOM,NETPROFIT_MOM,QDATE
858,五粮液,2021-06-30 00:00:00,124593796629.7,5694386075.28,76648209312.34,37.6753639768,134196662.52,-21.0014511241,13239428059.99,0.522610665,33849799257.9,4371554830.04,53.7341700395,12650189.73,,90743997371.8,15.9584069495,32.0004551171,109.8136148458,342.2366578959,27.16812568,13200371746.73,36751547826.7,18596449316.49,17.7975477414,19.4491485619,9204400090.89,9204400090.89,17.4984107762,3554857485.19,1533734323.22,-857710696.05,18300424226.45,18275175134.39,4432111077.2,,,,8707487982.81,109.955039479,36084798412.09,455.6659098267,4119740667.12,52.0226095736,-555895760.37,-7.0196525563,41720016.0,0.5268254192,598145670.93,7.5531692942,-232457252.3,-2.9353869226,3.401,3.384,14.3,19.4491485619,21.6,22.900765771574,2.243268246457,74.9550681939,-48.9135,-58.42,2021Q2
858,五粮液,2019-12-31 00:00:00,106396972333.66,6108745912.72,63238825723.79,29.1641392263,134449693.03,5.5904196323,13679619615.41,15.9735894413,30300924676.5,3257672975.56,3.340280619,12530706854.77,86.8376367349,76096047657.16,16.8561161262,23.5819498868,44.4632919016,321.7181757888,28.4791230539,17402164190.16,50118105877.14,26123144090.12,21.427968217,25.2007706636,12802259947.34,12802259947.34,22.0799555744,4985579336.77,2655347148.09,-1430745865.74,24245799837.73,24106012043.53,5877756764.92,,,,23112072040.66,162.2573367982,63111448367.92,443.0712882706,5633645226.36,39.5507710986,-1616404313.68,-11.3478989969,,,1698655125.66,11.9253373883,-7251646962.56,-50.9098847337,4.483,4.484,25.26,25.2007706636,30.02,19.139155877287,5.954251951997,74.4558184646,30.8111,51.4574,2019Q4
858,五粮液,2021-03-31 00:00:00,120222689550.59,5782726490.97,73379733084.87,18.559753018,144440921.42,-24.9482466436,12589647439.16,1.2303206938,22681398116.0,3888523625.1,13.1772017801,12036465.13,,97541291434.59,15.904588009,14.0074978504,6.5103216251,483.2243127148,18.8661543015,9323613990.16,24324839644.81,11332956812.88,19.2405657232,20.1925462919,5732895876.95,5732895876.95,20.7029810486,1724010806.85,950385950.17,-454155608.37,13027144814.43,13007054192.0,3224009402.12,,,,5505475102.1,108.6920204549,21065891918.69,415.8940532585,2862437571.83,56.5117664395,-440268770.43,-8.6920204549,,,440643520.47,8.6994189697,,,2.402,,9.35,20.1925462919,21.02,24.482015317747,1.418349069511,76.4319273604,64.0434,72.3609,2021Q1
858,五粮液,2020-09-30 00:00:00,99978750604.93,5949990361.01,57487797811.99,1.8341585054,193098837.23,5.6510062222,13067375783.14,5.8565705192,17906954236.65,3084387955.6,-14.6783906248,,,82071796368.28,15.5931171879,7.785587732,-17.6936850852,504.7890780168,17.9107601648,14545454674.88,42492767199.91,22366611740.23,13.3606068454,14.5307222426,10822604630.41,10822604630.41,11.3771350102,4873244846.97,1873808131.59,-1098737209.81,20226748279.42,20124993926.44,4898103793.33,,,,3943471634.98,67.2470413447,38577280256.85,657.8487689341,4584204123.61,78.173293171,-1280920421.7,-21.8432174821,,,566814185.98,9.6657413892,-8526629011.28,-145.4024845941,3.747,,18.48,14.5307222426,15.96,20.686431402313,1.015937629431,74.5307134753,11.3582,17.1039,2020Q3
858,五粮液,2020-06-30 00:00:00,94388914431.49,5991255131.9,55673148120.58,11.5876159167,169872313.39,3.5292167637,13170597114.82,9.7149969415,16133271085.76,2843580466.8,-17.1515657156,,,78255643345.73,15.6234107118,7.159293859,-20.9204574687,532.4085762838,17.0923367251,10855391967.86,30767525988.4,15786788157.35,11.2766990418,13.3198598995,7833637944.62,7833637944.62,10.1839467253,3184157237.67,1296057658.8,-743265259.6,15057459890.59,15001073989.03,3630088931.39,,,,1168132703.99,15.3330659737,28614032642.28,375.5916162416,3488477427.26,45.7902208859,-262005274.69,-3.4391162481,,,277680164.56,3.6448669472,-8524537611.0,-111.8942198415,2.797,2.799,13.62,13.3198598995,16.28,19.735778296108,0.300940409873,74.5392660184,-47.9732,-59.0994,2020Q2
858,五粮液,2018-12-31 00:00:00,86094265733.09,5262163428.02,48960048897.95,20.6156041123,127331336.97,16.2105378696,11795461088.43,11.7227021981,20974826391.98,3152374810.72,0.4607894805,6706735898.48,44.3637014076,65119439341.11,19.1042387225,21.3918177653,29.0893512677,377.2013974051,24.3626288155,13384246683.6,40030189599.87,21513284355.9,26.953788128,32.6083439748,10486782934.27,10486782934.27,24.1026583218,3778433675.01,2340498705.44,-1085010763.65,18718393264.18,18606822656.2,4568172529.72,,,,12317359034.9,147.1916550061,46031388431.46,550.072156398,4824010398.0,57.6466166356,-331556495.51,-3.9620789784,36240580.82,0.4330726298,381381461.74,4.5574841476,-3617923526.77,-43.2339554349,3.474,3.477,22.8,32.6083439748,38.356750152,16.355920020461,3.173261962319,73.8028147279,37.6901,63.153,2018Q4
858,五粮液,2020-03-31 00:00:00,105451563991.29,6049610927.03,61892616353.3,8.9814423579,192455092.6,-40.6921772055,12436636921.5,7.5540373611,21295023590.15,3435783500.51,,,,84156540401.14,17.8865685702,12.2902317742,-5.4483322006,454.8480937099,20.1941277911,7704289543.99,20238226408.6,9504279641.87,12.7135303039,15.0536389374,4749589303.55,4749589303.55,11.4955480306,1728622544.17,700746397.5,-400746843.68,10740322452.1,10701030417.23,2640537673.25,,,,-1201790976.97,-89.2722189664,12687016441.39,942.4252066209,1843635458.65,136.9501281943,-144439052.98,-10.729315673,,,144478236.1,10.732226299,,,1.985,,9.86,15.0536389374,18.98,21.123974935282,-0.309611628846,76.5315931957,55.4816,58.5696,2020Q1
858,五粮液,2019-09-30 00:00:00,92757067719.93,6187661572.37,56452371832.53,38.8826524688,182770466.78,14.4938445378,12344416335.28,7.9291528822,21756476711.64,3615013802.7,,5864876475.69,140.373562872,71000591008.29,16.3100311205,21.8502110618,44.277617789,387.4664102094,23.4553304092,12543547315.61,37101632092.99,19730497535.82,21.9494834669,26.8419403259,9717079389.25,9717079389.25,25.2226989714,4042574571.39,1792883205.11,-1030327974.61,17478778658.39,17353833183.43,4227634553.69,,,,16191322654.6,216.1055095459,42324123606.97,564.8998845422,4351646469.25,58.0814055567,-1453990233.56,-19.4064010088,,,1459724888.58,19.4829414232,-7245046962.56,-96.6996087304,3.232,,18.57,26.8419403259,32.1149891524,17.887453781586,4.171292576103,73.8095635122,4.077,12.1441,2019Q3
858,五粮液,2019-06-30 00:00:00,88082807409.78,6246670223.46,49891869866.74,17.5964762981,164081520.85,-8.180593405,12004372676.46,5.914162015,20401320707.41,3432268203.21,-13.563104579,4354178669.75,-1.4665076472,67681486702.37,15.601505194,9.5140600615,-6.7724313947,390.6076156367,23.1615241468,9335637379.26,27151044852.75,14186966627.59,21.7155576836,26.7485885684,7109600061.93,7109600061.93,22.1878225731,2649368406.35,1266083848.82,-691853523.85,13062943442.16,12954621543.45,3147527219.63,,,,8365812629.04,897.7918408408,27964523311.49,3001.0618185383,3023786794.24,324.5029780953,-1286879350.25,-138.1037123388,,,1292470007.83,138.7036835529,-6147141158.17,-659.6912243939,2.405,2.42,13.7,26.7485885684,31.2981967505,17.06101537456,2.155244068506,73.8146354938,-45.6472,-55.8228,2019Q2
858,五粮液,2019-03-31 00:00:00,93909828419.76,5182607453.84,56791885860.74,32.5632616993,324502036.21,111.9306708004,11563152092.32,10.0679412101,22522102555.95,,,4853443178.71,-15.9088371867,71387725863.81,19.2014669595,17.9062218486,13.9805348678,385.9325789559,23.9826894958,6475113303.33,17590253203.22,8432243774.32,20.2204115948,26.5698912319,4259891437.32,4259891437.32,14.3425211772,1273704365.26,776566310.96,-352553213.17,9182693616.57,9072772283.21,2260978527.74,,,,7926569918.5,101.2095879442,17697564959.4,225.9695272448,1965410864.59,25.0951452887,-94630384.72,-1.2082782771,,,96106689.64,1.2271283237,,,1.668,,9.7,26.5698912319,30.257417343,18.024072315847,2.042084081723,75.7826599304,63.1764,66.4626,2019Q1
